file,namespace,types,base_types,method_count,field_count,using_count,top_refs
EFT/Hideout/RelatedCustomPrefabData.cs,EFT.Hideout,class RelatedCustomPrefabData,RelatedData,0,1,1,Token:8 | RID:8 | RVA:3 | File:3 | Offset:3 | PanelPrefab:3 | EFT:2 | EPanelType:2
EFT/Hideout/RelatedData.cs,EFT.Hideout,class RelatedData,,0,0,1,Token:8 | RID:8 | JsonIgnore:3 | RelatedData:2 | System:1 | Newtonsoft:1 | Json:1 | EFT:1
EFT/Hideout/RelatedDescription.cs,EFT.Hideout,class RelatedDescription,GClass2454,0,0,0,Token:3 | RID:3 | EPanelType:2 | System:1 | EFT:1 | Hideout:1 | Serializable:1 | RelatedDescription:1
EFT/Hideout/RelatedFuelSupply.cs,EFT.Hideout,class RelatedFuelSupply,RelatedData,0,1,1,Token:8 | RID:8 | Data:4 | RVA:3 | File:3 | Offset:3 | System:2 | EPanelType:2
EFT/Hideout/RelatedImprovement.cs,EFT.Hideout,class RelatedImprovement,RelatedData | IEnumerable<GClass2427> | IEnumerable,2,1,2,Token:10 | RID:10 | RVA:5 | File:5 | Offset:5 | Data:5 | GClass2427:4 | System:3
EFT/Hideout/RelatedInteractions.cs,EFT.Hideout,class RelatedInteractions,RelatedData,0,1,0,Token:8 | RID:8 | Data:4 | RVA:3 | File:3 | Offset:3 | EPanelType:2 | ActionsReturnClass:2
EFT/Hideout/RelatedProduction.cs,EFT.Hideout,class RelatedProduction,RelatedData,0,1,0,Token:10 | RID:10 | RVA:5 | File:5 | Offset:5 | Data:4 | RelatedProduction:3 | Type:3
EFT/Hideout/RelatedQteData.cs,EFT.Hideout,class RelatedQteData | class Class2004,,3,2,4,QteHandleData:9 | Token:7 | RID:7 | Data:5 | System:4 | RelatedQteData:4 | RVA:3 | File:3
EFT/Hideout/RelatedRequirements.cs,EFT.Hideout,class RelatedRequirements | class Class2003,RelatedData | IEnumerable<Requirement> | IEnumerable,6,2,4,Token:19 | RID:19 | Type:11 | RVA:9 | File:9 | Offset:9 | RelatedRequirements:7 | Func:6
EFT/Hideout/RelatedSounds.cs,EFT.Hideout,class RelatedSounds,,2,1,3,AudioClip:9 | Token:6 | RID:6 | EAreaActivityType:6 | System:3 | Dictionary:3 | RVA:2 | File:2
EFT/Hideout/RelatedUnitReady.cs,EFT.Hideout,class RelatedUnitReady,GClass2454,0,0,0,Token:3 | RID:3 | EPanelType:2 | System:1 | EFT:1 | Hideout:1 | Serializable:1 | RelatedUnitReady:1
EFT/Hideout/Requirement.cs,EFT.Hideout,class Requirement,,3,2,4,Token:21 | RID:21 | RVA:12 | File:12 | Offset:12 | Fulfilled:6 | JsonIgnore:5 | BindableEvent:4
EFT/Hideout/RequirementFulfilledStatus.cs,EFT.Hideout,class RequirementFulfilledStatus,UIElement,1,3,3,Token:5 | RID:5 | SerializeField:3 | EFT:2 | UI:2 | UnityEngine:2 | Sprite:2 | System:1
EFT/Hideout/RequirementsPanel.cs,EFT.Hideout,class RequirementsPanel | class Class2006 | class Class2007,AbstractPanel<List<Requirement>>,7,15,6,Token:27 | RID:27 | ERequirementType:12 | SerializeField:9 | Requirement:8 | RVA:7 | File:7 | Offset:7
EFT/Hideout/ResourceRequirement.cs,EFT.Hideout,class ResourceRequirement,Requirement,0,2,1,Token:5 | RID:5 | ERequirementType:2 | Resource:2 | JsonProperty:2 | System:1 | Newtonsoft:1 | Json:1
EFT/Hideout/RestSpaceBehaviour.cs,EFT.Hideout,class RestSpaceBehaviour | class Class1960,BaseItemSlotsAreaBehaviour | GInterface248,14,8,7,Token:41 | RID:41 | Action:40 | Item:35 | RVA:24 | File:24 | Offset:24 | Debug:12
EFT/Hideout/RestSpaceGamePanel.cs,EFT.Hideout,class RestSpaceGamePanel,UIElement,12,8,7,Token:23 | RID:23 | RVA:13 | File:13 | Offset:13 | Item:11 | HideoutClass:6 | Debug:6
EFT/Hideout/ScavCaseBehaviour.cs,EFT.Hideout,class ScavCaseBehaviour,GClass2447,0,0,0,System:1 | EFT:1 | Hideout:1 | Token:1 | RID:1 | ScavCaseBehaviour:1 | GClass2447:1
EFT/Hideout/ScavCaseView.cs,EFT.Hideout,class ScavCaseView | class Class1954 | class Class1955,ProduceViewBase<GClass2436 | GClass2441>,17,27,11,Token:56 | RID:56 | RVA:21 | File:21 | Offset:21 | Producer:15 | SerializeField:14 | ItemRequirement:13
EFT/Hideout/SecurityBehaviour.cs,EFT.Hideout,class SecurityBehaviour,GClass2447,0,0,0,System:1 | EFT:1 | Hideout:1 | Token:1 | RID:1 | SecurityBehaviour:1 | GClass2447:1
EFT/Hideout/SelectItemContextMenu.cs,EFT.Hideout,class SelectItemContextMenu | struct Struct700 | class Class2019 | class Class2020,UIElement | IPointerClickHandler | IEventSystemHandler,9,11,9,Token:30 | RID:30 | SelectItemContextMenu:19 | GridLayoutGroup:19 | Item:15 | Corner:14 | Struct700:13 | EContextPriorDirection:12
EFT/Hideout/SetActiveAmbiance.cs,EFT.Hideout,class SetActiveAmbiance,AmbianceObject<bool>,2,0,3,System:4 | Token:3 | RID:3 | SetActiveAmbiance:3 | Task:3 | RVA:2 | File:2 | Offset:2
EFT/Hideout/ShootingRange/FoldingPopperTarget.cs,EFT.Hideout.ShootingRange,class FoldingPopperTarget | class Class2029 | class Class2030,MonoBehaviour | GInterface262,15,28,7,Token:52 | RID:52 | Quaternion:19 | RVA:18 | File:18 | Offset:18 | SerializeField:14 | Euler:10
EFT/Hideout/ShootingRange/FoldingTarget.cs,EFT.Hideout.ShootingRange,class FoldingTarget | class Class2031 | class Class2032,MonoBehaviour | GInterface262,14,16,7,Token:37 | RID:37 | RVA:16 | File:16 | Offset:16 | Quaternion:8 | FoldingTarget:7 | FoldingTargetState:6
EFT/Hideout/ShootingRange/FoldingTargetState.cs,EFT.Hideout.ShootingRange,enum FoldingTargetState,,0,0,0,Token:4 | RID:4 | System:1 | EFT:1 | Hideout:1 | ShootingRange:1 | FoldingTargetState:1 | None:1
EFT/Hideout/ShootingRange/HideoutTargetBallisticCollider.cs,EFT.Hideout.ShootingRange,class HideoutTargetBallisticCollider,BallisticCollider,6,8,6,Token:21 | RID:21 | Vector3:20 | TargetColliderType:16 | Action:13 | RVA:9 | File:9 | Offset:9
EFT/Hideout/ShootingRange/InteractiveShootingRange.cs,EFT.Hideout.ShootingRange,class InteractiveShootingRange,InteractableObject,3,1,2,Token:6 | RID:6 | RVA:4 | File:4 | Offset:4 | System:2 | EFT:2 | InteractiveShootingRange:2
EFT/Hideout/ShootingRange/PaperTarget.cs,EFT.Hideout.ShootingRange,class PaperTarget,MonoBehaviour,4,2,3,TargetColliderType:14 | Action:13 | Token:11 | RID:11 | RVA:6 | File:6 | Offset:6 | System:3
EFT/Hideout/ShootingRange/PaperTargetControl.cs,EFT.Hideout.ShootingRange,class PaperTargetControl | class Class2022,InteractiveShootingRange,4,3,3,Token:10 | RID:10 | PaperTarget:7 | PaperTargetControl:4 | RVA:4 | File:4 | Offset:4 | Class2022:4
EFT/Hideout/ShootingRange/PopperTarget.cs,EFT.Hideout.ShootingRange,class PopperTarget,MonoBehaviour | GInterface262,11,4,4,Token:29 | RID:29 | RVA:18 | File:18 | Offset:18 | PopperTarget:9 | System:4 | OnHitTarget:4
EFT/Hideout/ShootingRange/PopperTargetControl.cs,EFT.Hideout.ShootingRange,class PopperTargetControl | class Class2023 | class Class2024,InteractiveShootingRange,24,18,4,Token:46 | RID:46 | RVA:24 | File:24 | Offset:24 | Action:20 | Actions:8 | PopperTargetControl:7
EFT/Hideout/ShootingRange/PopperTargets.cs,EFT.Hideout.ShootingRange,class PopperTargets | class Class2033 | class Class2034 | class Class2035,MonoBehaviour,16,11,5,Token:40 | RID:40 | RVA:20 | File:20 | Offset:20 | PopperTarget:17 | PopperTargets:15 | Task:14
EFT/Hideout/ShootingRange/RailTarget.cs,EFT.Hideout.ShootingRange,class RailTarget | enum MovementSpeed | enum HorizontalDirection | enum VerticalDirection | enum MovementType,MonoBehaviour | GInterface262,40,26,6,Token:92 | RID:92 | RVA:46 | File:46 | Offset:46 | RailTarget:25 | TweenCallback:17 | SerializeField:15
EFT/Hideout/ShootingRange/RailTargetControl.cs,EFT.Hideout.ShootingRange,class RailTargetControl | class Class2025,InteractiveShootingRange,15,17,3,Token:34 | RID:34 | RVA:15 | File:15 | Offset:15 | RailTargetControl:10 | Action:8 | Actions:6
EFT/Hideout/ShootingRange/RailTargets.cs,EFT.Hideout.ShootingRange,class RailTargets | class Class2036 | class Class2037 | class Class2038,MonoBehaviour,37,9,6,Token:57 | RID:57 | Task:49 | RVA:40 | File:40 | Offset:40 | RailTarget:28 | RailTargets:23
EFT/Hideout/ShootingRange/SharedTargetControl.cs,EFT.Hideout.ShootingRange,class SharedTargetControl,MonoBehaviour,3,1,3,Token:5 | RID:5 | SharedTargetControl:5 | Task:4 | System:3 | RVA:3 | File:3 | Offset:3
EFT/Hideout/ShootingRange/ShootingAreaTrigger.cs,EFT.Hideout.ShootingRange,class ShootingAreaTrigger,MonoBehaviour | IPhysicsTrigger,2,2,2,Token:10 | RID:10 | RVA:5 | File:5 | Offset:5 | InteractiveShootingRange:3 | System:2 | ShootingAreaTrigger:2
EFT/Hideout/ShootingRange/ShootingScoreInterface.cs,EFT.Hideout.ShootingRange,class ShootingScoreInterface,MonoBehaviour,17,13,5,Token:31 | RID:31 | RVA:17 | File:17 | Offset:17 | SerializeField:11 | ShootingScoreInterface:7 | SetActive:6
EFT/Hideout/ShootingRange/TargetColliderType.cs,EFT.Hideout.ShootingRange,enum TargetColliderType,,0,0,0,Token:5 | RID:5 | System:1 | EFT:1 | Hideout:1 | ShootingRange:1 | TargetColliderType:1 | None:1
EFT/Hideout/ShootingRange/Turnstile.cs,EFT.Hideout.ShootingRange,class Turnstile,InteractiveShootingRange,5,6,4,Token:12 | RID:12 | Quaternion:8 | RVA:5 | File:5 | Offset:5 | Action:4 | DG:3
EFT/Hideout/ShootingRangeBehaviour.cs,EFT.Hideout,class ShootingRangeBehaviour,GClass2447,3,1,0,HideoutPlayerOwner_0:12 | Token:5 | RID:5 | RVA:3 | File:3 | Offset:3 | HideoutPlayerOwner:2 | AreaData:2
EFT/Hideout/ShrinkingCircleQTE.cs,EFT.Hideout,class ShrinkingCircleQTE,QTEAction,5,20,4,Token:26 | RID:26 | SerializeField:15 | ShrinkingCircleQTE:7 | Task:6 | RVA:5 | File:5 | Offset:5
EFT/Hideout/SkillRequirement.cs,EFT.Hideout,class SkillRequirement,Requirement,1,4,1,Token:13 | RID:13 | SkillManager:6 | RVA:5 | File:5 | Offset:5 | FakeSkill:5 | ESkillId:3
EFT/Hideout/SkillRequirementPanel.cs,EFT.Hideout,class SkillRequirementPanel | class Class2008,UIElement | GInterface258 | GInterface489 | IDisposable,4,7,5,Token:13 | RID:13 | Close:6 | SkillRequirementPanel:4 | RVA:4 | File:4 | Offset:4 | Show:4
EFT/Hideout/SolarPowerBehaviour.cs,EFT.Hideout,class SolarPowerBehaviour,GClass2447,0,0,0,System:1 | EFT:1 | Hideout:1 | Token:1 | RID:1 | SolarPowerBehaviour:1 | GClass2447:1
EFT/Hideout/Stage.cs,EFT.Hideout,class Stage | class Class2010,,13,16,4,Token:55 | RID:55 | RelatedData:32 | RVA:28 | File:28 | Offset:28 | Func:20 | EPanelType:18
EFT/Hideout/StashBehaviour.cs,EFT.Hideout,class StashBehaviour,GClass2447,0,0,0,System:1 | EFT:1 | Hideout:1 | Token:1 | RID:1 | StashBehaviour:1 | GClass2447:1
EFT/Hideout/StashItemModel.cs,EFT.Hideout,class StashItemModel,MonoBehaviour,8,3,3,Token:12 | RID:12 | Vector3:11 | RVA:8 | File:8 | Offset:8 | Quaternion:7 | Transform:6
EFT/Hideout/StashItemModelSpawnPoint.cs,EFT.Hideout,class StashItemModelSpawnPoint,MonoBehaviour,4,1,2,Token:8 | RID:8 | StashItemModel:6 | RVA:5 | File:5 | Offset:5 | System:2 | HasItem:2
EFT/Hideout/StashItemSpawner.cs,EFT.Hideout,class StashItemSpawner,MonoBehaviour,1,3,1,UnityEngine:5 | Token:5 | RID:5 | Random:3 | Range:3 | Time:2 | RateOfSpawn:2 | Vector3:2
EFT/Hideout/StashWeaponItemModel.cs,EFT.Hideout,class StashWeaponItemModel,StashItemModel,4,0,1,Vector3:7 | Token:5 | RID:5 | RVA:4 | File:4 | Offset:4 | Quaternion:4 | ItemRotation:2
EFT/Hideout/ToolRequirement.cs,EFT.Hideout,class ToolRequirement,ItemRequirement,0,0,0,Token:3 | RID:3 | ERequirementType:2 | System:1 | EFT:1 | Hideout:1 | Serializable:1 | ToolRequirement:1
EFT/Hideout/TraderLoyaltyRequirement.cs,EFT.Hideout,class TraderLoyaltyRequirement,GClass2455,2,2,4,Token:7 | RID:7 | System:4 | RVA:3 | File:3 | Offset:3 | Profile:3 | TraderInfo:3
EFT/Hideout/TraderRequirementPanel.cs,EFT.Hideout,class TraderRequirementPanel | class Class2009,UIElement | GInterface258 | GInterface489 | IDisposable,6,8,5,Token:16 | RID:16 | RVA:6 | File:6 | Offset:6 | Close:6 | TraderRequirementPanel:4 | Show:4
EFT/Hideout/TraderUnlockRequirement.cs,EFT.Hideout,class TraderUnlockRequirement,GClass2455,2,1,4,Token:6 | RID:6 | System:4 | Profile:4 | TraderInfo:4 | RVA:3 | File:3 | Offset:3
EFT/Hideout/UnitReadyPanel.cs,EFT.Hideout,class UnitReadyPanel,AbstractPanel<EAreaStatus>,2,3,3,Token:6 | RID:6 | System:3 | UnitReadyPanel:3 | RVA:2 | File:2 | Offset:2 | Task:2
EFT/Hideout/VentsBehaviour.cs,EFT.Hideout,class VentsBehaviour,GClass2447,0,0,0,System:1 | EFT:1 | Hideout:1 | Token:1 | RID:1 | VentsBehaviour:1 | GClass2447:1
EFT/Hideout/VideoAmbiance.cs,EFT.Hideout,class VideoAmbiance | class Class1889 | class VideoPlaybackSettings,InteractiveAmbianceObject<VideoAmbiance.VideoPlaybackSettings>,9,6,6,Token:20 | RID:20 | VideoClip:14 | VideoAmbiance:11 | RVA:10 | File:10 | Offset:10 | Class1889:8
EFT/Hideout/VideocardInstaller.cs,EFT.Hideout,class VideocardInstaller | class Class1953,MonoBehaviour,6,8,7,Token:21 | RID:21 | VideocardInstaller:15 | RVA:9 | File:9 | Offset:9 | System:5 | PoolManagerClass:5
EFT/Hideout/WaterClosetBehaviour.cs,EFT.Hideout,class WaterClosetBehaviour,GClass2447,0,0,0,System:1 | EFT:1 | Hideout:1 | Token:1 | RID:1 | WaterClosetBehaviour:1 | GClass2447:1
EFT/Hideout/WaterCollectorBehaviour.cs,EFT.Hideout,class WaterCollectorBehaviour,GClass2447 | GInterface253,0,0,2,Token:3 | RID:3 | GClass2431:3 | System:2 | ResourceConsumer:2 | GClass2434:2 | Collections:1 | Generic:1
EFT/Hideout/WeaponStandBehaviour.cs,EFT.Hideout,class WeaponStandBehaviour,GClass2447,0,0,0,System:1 | EFT:1 | Hideout:1 | Token:1 | RID:1 | WeaponStandBehaviour:1 | GClass2447:1
EFT/Hideout/WorkbenchBehaviour.cs,EFT.Hideout,class WorkbenchBehaviour,GClass2447,0,0,0,System:1 | EFT:1 | Hideout:1 | Token:1 | RID:1 | WorkbenchBehaviour:1 | GClass2447:1
EFT/Hideout/WorkoutBehaviour.cs,EFT.Hideout,class WorkoutBehaviour | class Class1961 | class Class1962,GClass2447 | GInterface256,16,22,9,Token:50 | RID:50 | HideoutPlayerOwner_0:21 | NonSerialized:20 | RVA:19 | File:19 | Offset:19 | HealthControllerClass:16
EFT/HideoutAreaStashInfo.cs,EFT,class HideoutAreaStashInfo,,0,2,0,Token:3 | RID:3 | System:1 | EFT:1 | Serializable:1 | HideoutAreaStashInfo:1 | Id:1 | Tpl:1
EFT/HideoutGame.cs,EFT,class HideoutGame | class Class1640,BaseLocalGame<HideoutPlayerOwner>,9,8,7,Token:19 | RID:19 | HideoutGame:10 | RVA:9 | File:9 | Offset:9 | System:4 | Func:4
EFT/HideoutPlayer.cs,EFT,class HideoutPlayer | class Class1309 | class GClass2352 | class Class1717 | class Class1718 | class Class1719 | class Class1720 | class Class1721 | class Class1722,LocalPlayer | GInterface401,32,19,7,Token:102 | RID:102 | RVA:53 | File:53 | Offset:53 | Action:43 | HideoutPlayer:31 | NightVisionComponent:18
EFT/HideoutPlayerOwner.cs,EFT,class HideoutPlayerOwner | class Class1723 | class Class1724,EftGamePlayerOwner,35,27,13,Token:111 | RID:111 | Action:71 | RVA:65 | File:65 | Offset:65 | HideoutPlayer:43 | HideoutArea:35
EFT/HitReactionCharacter.cs,EFT,class HitReactionCharacter,MonoBehaviour,1,5,2,Token:7 | RID:7 | SerializeField:5 | Input:2 | RaycastHit:2 | BodyPartCollider:2 | System:1 | RootMotion:1
EFT/HostTopology.cs,EFT,class HostTopology,,2,6,2,Token:28 | RID:28 | RVA:14 | File:14 | Offset:14 | ConnectionConfig:11 | SerializeField:6 | Count:4
EFT/IAudioClipContainer.cs,EFT,interface IAudioClipContainer,,0,0,1,Token:4 | RID:4 | System:1 | UnityEngine:1 | EFT:1 | IAudioClipContainer:1 | AudioClip:1 | GetClip:1
EFT/IBasePriceSource.cs,EFT,interface IBasePriceSource,,0,0,0,Token:2 | RID:2 | System:1 | EFT:1 | IBasePriceSource:1 | GetBasePrice:1 | MongoID:1
EFT/IBipodToggleEvents.cs,EFT,interface IBipodToggleEvents,,0,0,1,Token:4 | RID:4 | System:1 | AnimationEventSystem:1 | EFT:1 | IBipodToggleEvents:1 | Action:1 | IAnimatorEventParameter:1
EFT/IDropBackPackEvents.cs,EFT,interface IDropBackPackEvents,,0,0,1,Token:4 | RID:4 | System:1 | AnimationEventSystem:1 | EFT:1 | IDropBackPackEvents:1 | Action:1 | IAnimatorEventParameter:1
EFT/IExchangeRequirement.cs,EFT,interface IExchangeRequirement,,0,0,1,Token:17 | RID:17 | EFT:2 | Item:2 | System:1 | InventoryLogic:1 | IExchangeRequirement:1 | TemplateId:1
EFT/IExplosiveItem.cs,EFT,interface IExplosiveItem,,0,0,1,Token:18 | RID:18 | Vector3:3 | System:1 | UnityEngine:1 | EFT:1 | IExplosiveItem:1 | Blindness:1
EFT/IFirearmHandsController.cs,EFT,interface IFirearmHandsController,GInterface199 | IHandsController | GInterface197,0,0,3,Token:38 | RID:38 | CanBeNull:7 | Callback:6 | AmmoPackReloadingClass:4 | FirearmScopeStateStruct:3 | EFT:2 | Weapon:2
EFT/IgnorePlayerInputZone.cs,EFT,class IgnorePlayerInputZone,MonoBehaviour,3,3,2,Token:7 | RID:7 | BaseEventFilter:4 | GamePlayerOwner:4 | RVA:3 | File:3 | Offset:3 | SerializeField:3
EFT/IInventoryWarning.cs,EFT,interface IInventoryWarning,,0,0,0,Token:4 | RID:4 | System:1 | EFT:1 | IInventoryWarning:1 | ErrorCode:1 | TryGetMessage:1
EFT/IKnifeController.cs,EFT,interface IKnifeController,GInterface199 | IHandsController | GInterface197,0,0,1,Token:15 | RID:15 | EFT:2 | Action:2 | System:1 | InventoryLogic:1 | IKnifeController:1 | GInterface199:1
EFT/IKSettings.cs,EFT,enum IKSettings,,0,0,0,Token:5 | RID:5 | System:1 | EFT:1 | Flags:1 | IKSettings:1 | None:1 | Left:1
EFT/ILeftHandInteractionEvents.cs,EFT,interface ILeftHandInteractionEvents,,0,0,1,Token:13 | RID:13 | Action:4 | IAnimatorEventParameter:4 | System:1 | AnimationEventSystem:1 | EFT:1 | ILeftHandInteractionEvents:1
EFT/Impostors/AmplifyImpostorsArray.cs,EFT.Impostors,class AmplifyImpostorsArray | class Class2094 | class Class2095 | class Class2096,SerializedScriptableObject,16,24,11,Token:64 | RID:64 | ResourceKey:43 | RVA:26 | File:26 | Offset:26 | Action:24 | Texture2DArray:19
EFT/Impostors/AmplifyImpostorsArrayElement.cs,EFT.Impostors,class AmplifyImpostorsArrayElement,MonoBehaviour,5,4,4,AmplifyImpostorsArrayElement:59 | Action:40 | Token:22 | RID:22 | RVA:12 | File:12 | Offset:12 | CompilerGenerated:9
EFT/Impostors/EImpostorsShadowMode.cs,EFT.Impostors,enum EImpostorsShadowMode,,0,0,0,Token:3 | RID:3 | System:1 | EFT:1 | Impostors:1 | EImpostorsShadowMode:1 | DistantShadow:1 | None:1
EFT/Impostors/ImpostorBounds.cs,EFT.Impostors,struct ImpostorBounds,,0,5,1,Token:8 | RID:8 | System:1 | UnityEngine:1 | EFT:1 | Impostors:1 | Serializable:1 | ImpostorBounds:1
EFT/Impostors/ImpostorPropBlock.cs,EFT.Impostors,struct ImpostorPropBlock,,0,13,1,Token:16 | RID:16 | Vector4:2 | System:1 | UnityEngine:1 | EFT:1 | Impostors:1 | Serializable:1
EFT/Impostors/ImpostorsRenderer.cs,EFT.Impostors,class ImpostorsRenderer | class Class2111,MonoBehaviourSingleton<ImpostorsRenderer>,22,10,8,Token:44 | RID:44 | RVA:27 | File:27 | Offset:27 | AmplifyImpostorsArrayElement:12 | Class2101:10 | Camera:10
EFT/Impostors/ImpostorVertex.cs,EFT.Impostors,struct ImpostorVertex,,0,1,1,Token:4 | RID:4 | System:1 | UnityEngine:1 | EFT:1 | Impostors:1 | Serializable:1 | ImpostorVertex:1
EFT/InitLevelStage.cs,EFT,enum InitLevelStage,,0,0,0,Token:4 | RID:4 | System:1 | EFT:1 | InitLevelStage:1 | LoadingBundles:1 | CreatingPools:1 | LoadingMap:1
EFT/InputSystem/AxisGroup.cs,EFT.InputSystem,class AxisGroup | class AxisPair | class Class1861,,8,8,3,AxisGroup:25 | Token:20 | RID:20 | AxisPair:12 | RVA:8 | File:8 | Offset:8 | Clone:6
EFT/InputSystem/EAxis.cs,EFT.InputSystem,enum EAxis,,0,0,0,Token:8 | RID:8 | System:1 | EFT:1 | InputSystem:1 | EAxis:1 | MoveX:1 | MoveY:1
EFT/InputSystem/ECommand.cs,EFT.InputSystem,enum ECommand,,0,0,0,Token:148 | RID:148 | System:1 | EFT:1 | InputSystem:1 | ECommand:1 | None:1 | ToggleShooting:1
EFT/InputSystem/ECursorResult.cs,EFT.InputSystem,enum ECursorResult,,0,0,0,Token:4 | RID:4 | System:1 | EFT:1 | InputSystem:1 | ECursorResult:1 | Ignore:1 | LockCursor:1
EFT/InputSystem/EGameKey.cs,EFT.InputSystem,enum EGameKey,,0,0,0,Token:125 | RID:125 | System:1 | EFT:1 | InputSystem:1 | EGameKey:1 | None:1 | Shoot:1
EFT/InputSystem/EKeyPress.cs,EFT.InputSystem,enum EKeyPress,,0,0,0,Token:5 | RID:5 | System:1 | EFT:1 | InputSystem:1 | EKeyPress:1 | None:1 | Down:1
EFT/InputSystem/EmptyInputNode.cs,EFT.InputSystem,class EmptyInputNode,InputNode,5,0,0,Token:6 | RID:6 | InputNode:5 | RVA:5 | File:5 | Offset:5 | ETranslateResult:2 | Ignore:2
EFT/InputSystem/EPressType.cs,EFT.InputSystem,enum EPressType,,0,0,0,Token:5 | RID:5 | System:1 | EFT:1 | InputSystem:1 | EPressType:1 | Release:1 | Continuous:1
EFT/InputSystem/InputManager.cs,EFT.InputSystem,class InputManager | class Class1883 | class Class1884,MonoBehaviour,17,17,4,ECommand:142 | KeyBindingClass:121 | EGameKey:118 | Token:41 | RID:41 | InputManager:26 | DeleteNoteDescriptorClass:22 | RVA:19
EFT/InputSystem/InputNode.cs,EFT.InputSystem,class InputNode | enum ETranslateResult,InputNodeAbstract,8,1,1,Token:15 | RID:15 | InputNode:14 | ECommand:10 | ETranslateResult:8 | RVA:6 | File:6 | Offset:6
EFT/InputSystem/InputNodeAbstract.cs,EFT.InputSystem,class InputNodeAbstract,SerializedMonoBehaviour,2,2,3,InputNode:8 | Token:6 | RID:6 | List:5 | TranslateInput:4 | InputNodeAbstract:3 | RVA:3 | File:3
EFT/InputSystem/InputSource.cs,EFT.InputSystem,class InputSource,,7,8,7,Token:20 | RID:20 | KeyCode:16 | InputSource:14 | DefaultValueHandling:10 | RVA:9 | File:9 | Offset:9
EFT/InputSystem/InputTree.cs,EFT.InputSystem,class InputTree,InputNodeAbstract | IInputTree,5,1,2,Token:10 | RID:10 | RVA:7 | File:7 | Offset:7 | InputManager:4 | InputNode:4 | InputManager_0:3
EFT/InputSystem/KeyGroup.cs,EFT.InputSystem,class KeyGroup | class Class1887,,12,6,6,Token:24 | RID:24 | KeyGroup:22 | InputSource:16 | RVA:13 | File:13 | Offset:13 | System:5
EFT/InputSystem/MouseAxisUpdateType.cs,EFT.InputSystem,enum MouseAxisUpdateType,,0,0,0,Token:3 | RID:3 | System:1 | EFT:1 | InputSystem:1 | MouseAxisUpdateType:1 | InputMethod:1 | MousePosition:1
EFT/InputSystem/UIInputRoot.cs,EFT.InputSystem,class UIInputRoot,InputNode,5,0,2,Token:6 | RID:6 | InputNode:5 | RVA:5 | File:5 | Offset:5 | Add:3 | Remove:3
EFT/Interactive/Appliance.cs,EFT.Interactive,class Appliance,InteractableObject | ISerializationCallbackReceiver | ISupportsPrefabSerialization,6,4,3,Token:18 | RID:18 | RVA:10 | File:10 | Offset:10 | GInterface243:4 | SerializationData:3 | SerializeField:3
EFT/Interactive/BarbedWire.cs,EFT.Interactive,class BarbedWire,DamageTrigger,4,5,3,Token:14 | RID:14 | RVA:6 | File:6 | Offset:6 | Player:5 | Singleton:5 | Instance:5
EFT/Interactive/BaseRestrictableZone.cs,EFT.Interactive,class BaseRestrictableZone,MonoBehaviour,3,3,2,Player:9 | Token:8 | RID:8 | List:6 | System:2 | BaseRestrictableZone:2 | Collections:1 | Generic:1
EFT/Interactive/BeaconPlacer.cs,EFT.Interactive,class BeaconPlacer,MonoBehaviour,2,5,3,Token:13 | RID:13 | PlaceItemTrigger:7 | RVA:5 | File:5 | Offset:5 | BoxCollider_0:5 | List:4
EFT/Interactive/BetterPropagationGroups.cs,EFT.Interactive,class BetterPropagationGroups | class Volumes | class Class2712,MonoBehaviour,5,5,4,BetterPropagationVolume:19 | Token:14 | RID:14 | Vector3:11 | BetterPropagationGroups:8 | PropagationVolumes:8 | Area:6 | RVA:5
EFT/Interactive/BetterPropagationVolume.cs,EFT.Interactive,class BetterPropagationVolume,MonoBehaviour | IPhysicsTrigger,12,10,5,Token:28 | RID:28 | EVolumeRelationsMask:21 | RVA:15 | File:15 | Offset:15 | Singleton:14 | Instance:12
EFT/Interactive/BorderZone.cs,EFT.Interactive,class BorderZone,MonoBehaviour | IPhysicsTrigger,11,9,7,Token:38 | RID:38 | RVA:21 | File:21 | Offset:21 | BorderZone:17 | IPlayerOwner:16 | Action:14
EFT/Interactive/BrokenWindowPieceCollider.cs,EFT.Interactive,class BrokenWindowPieceCollider,MonoBehaviour | IPhysicsTriggerWithStay | IPhysicsTrigger,4,2,3,Vector3:26 | Token:16 | RID:16 | Action:13 | RVA:9 | File:9 | Offset:9 | Collider:7
EFT/Interactive/BrokenWindowPieceTemplate.cs,EFT.Interactive,class BrokenWindowPieceTemplate,MonoBehaviour,1,7,2,Token:9 | RID:9 | SerializeField:7 | EFT:2 | GStruct438:2 | GameObject:2 | MeshFilter:2 | MeshRenderer:2
EFT/Interactive/BufferGates.cs,EFT.Interactive,class BufferGates,Switch,8,10,1,Token:21 | RID:21 | RVA:9 | File:9 | Offset:9 | EDoorState:9 | BetterAudio:6 | SerializeField:6
EFT/Interactive/BufferGateSwitcher.cs,EFT.Interactive,class BufferGateSwitcher,Switch,6,7,6,Token:22 | RID:22 | EInteractionType:19 | IPlayer:15 | Action:13 | InteractingPlayer:13 | RVA:10 | File:10
EFT/Interactive/CandleSwitcher.cs,EFT.Interactive,class CandleSwitcher,MonoBehaviour | GInterface467,4,4,1,Turnable:13 | EState:13 | Token:12 | RID:12 | RVA:6 | File:6 | Offset:6 | On:3
