file,namespace,types,base_types,method_count,field_count,using_count,top_refs
AIBossPlayer.cs,(global),class AIBossPlayer,IBossToFollow,9,1,3,Token:35 | RID:35 | RVA:22 | File:22 | Offset:22 | Player:12 | Followers:8 | BotOwner:7
AICalculationsInfo.cs,(global),class AICalculationsInfo | class Class292,MonoBehaviour,5,2,4,AICalculationsInfo:10 | Token:9 | RID:9 | BaseAICalcSystemInfo:7 | Infos:6 | RVA:5 | File:5 | Offset:5
AICoreActionEndStruct.cs,(global),struct AICoreActionEndStruct,,0,2,0,Token:5 | RID:5 | AICoreActionEndStruct:3 | Value:3 | Reason:3 | RVA:2 | File:2 | Offset:2
AICoreActionResultStruct.cs,(global),struct AICoreActionResultStruct,,0,3,0,Token:5 | RID:5 | U:5 | T:3 | AICoreActionResultStruct:2 | Action:2 | Reason:2 | Data:2
AICoreAgentClass.cs,(global),class AICoreAgentClass,,13,6,2,Token:24 | RID:24 | T:18 | RVA:14 | File:14 | Offset:14 | Gclass35_0:9 | NonSerialized:9
AICoreControllerClass.cs,(global),class AICoreControllerClass,,8,5,1,Token:14 | RID:14 | GClass32:12 | RVA:8 | File:8 | Offset:8 | HashSet_0:7 | HashSet:7
AICoreLayerClass.cs,(global),class AICoreLayerClass,,12,2,2,Token:28 | RID:28 | Action:26 | T:25 | AICoreActionResultStruct:24 | GClass26:24 | RVA:15 | File:15
AICorePoint.cs,(global),class AICorePoint | class Class135,MonoBehaviour | GInterface5 | IPositionPoint | IAICorePointLink,8,6,4,Token:24 | RID:24 | AICorePoint:13 | RVA:12 | File:12 | Offset:12 | Vector3:9 | Gizmos:9
AICorePointHolder.cs,(global),class AICorePointHolder | class Class136 | class Class137 | class Class138 | class Class139,MonoBehaviour,15,10,5,Token:30 | RID:30 | AICorePointHolder:21 | AICorePoint:18 | RVA:15 | File:15 | Offset:15 | Vector3:10
AICoreStrategyAbstractClass.cs,(global),class AICoreStrategyAbstractClass,,11,4,4,T:40 | AICoreLayerClass:36 | Token:27 | RID:27 | RVA:19 | File:19 | Offset:19 | Action:13
AICoversData.cs,(global),class AICoversData | class Class140 | class Class141 | class Class142 | class Class143,MonoBehaviour,53,37,4,Token:164 | RID:164 | GroupPoint:87 | RVA:86 | File:86 | Offset:86 | Func:39 | AICoversData:34
AIDangerArea.cs,(global),class AIDangerArea,,3,4,1,Token:18 | RID:18 | RVA:9 | File:9 | Offset:9 | Point:5 | Period:4 | SRad:3
AIDangerPlace.cs,(global),class AIDangerPlace,IPositionPoint,1,1,1,Token:5 | RID:5 | Vector3:3 | RVA:2 | File:2 | Offset:2 | System:1 | UnityEngine:1
AIDangerPlacesHolder.cs,(global),class AIDangerPlacesHolder,MonoBehaviour,4,2,2,Token:7 | RID:7 | PlacesToAvoid:5 | RVA:4 | File:4 | Offset:4 | AIDangerPlace:3 | Position:3
AIDataRequestController.cs,(global),class AIDataRequestController | class Class278 | class Class279,,9,5,4,Token:23 | RID:23 | BotRequest:15 | RVA:13 | File:13 | Offset:13 | BotRequestType:11 | CurrentRequests:9
AIDebugSettings.cs,(global),class AIDebugSettings,ScriptableObject,0,4,1,AIDebugSettings:8 | Token:7 | RID:7 | Texture2D:2 | System:1 | UnityEngine:1 | ScriptableObject:1 | RVA:1
AIDoorsHolder.cs,(global),class AIDoorsHolder | class Class144,MonoBehaviour,3,2,4,AIDoorsHolder:8 | Token:7 | RID:7 | System:4 | NavMeshDoorLink:4 | RVA:3 | File:3 | Offset:3
AIExfiltrationPoint.cs,(global),class AIExfiltrationPoint,IAICorePointLink,5,6,4,Token:26 | RID:26 | RVA:13 | File:13 | Offset:13 | Vector3:9 | ExfiltrationPoint:6 | SerializeField:5
AIFirearmController.cs,(global),class AIFirearmController,Player.FirearmController,0,0,2,Token:3 | RID:3 | System:1 | EFT:1 | UnityEngine:1 | AIFirearmController:1 | Player:1 | FirearmController:1
AIGreanageThrowData.cs,(global),class AIGreanageThrowData,,1,11,2,Token:16 | RID:16 | Vector3:6 | AIGreanageThrowData:4 | RVA:4 | File:4 | Offset:4 | CanThrow:4
AIGreandeAng.cs,(global),enum AIGreandeAng,,0,0,0,Token:8 | RID:8 | System:1 | AIGreandeAng:1
AILootPoint.cs,(global),class AILootPoint,IAICorePointLink,8,14,3,Token:37 | RID:37 | RVA:16 | File:16 | Offset:16 | Vector3:9 | LootableContainer:8 | Core:7
AILootPointsCluster.cs,(global),class AILootPointsCluster,,12,13,6,Token:57 | RID:57 | RVA:30 | File:30 | Offset:30 | Vector3:9 | LootPoints:8 | AILootPoint:8
AIManualPointInfo.cs,(global),class AIManualPointInfo,MonoBehaviour,10,7,2,Token:19 | RID:19 | GroupPoint:16 | RVA:11 | File:11 | Offset:11 | List:11 | Points:9
AIManualPointsHolder.cs,(global),class AIManualPointsHolder | class Class145,MonoBehaviour,7,5,5,GroupPoint:16 | Token:14 | RID:14 | RVA:7 | File:7 | Offset:7 | AICoversData:7 | ManualPoints:6
AIMinePoint.cs,(global),class AIMinePoint,MonoBehaviour | IAICorePointLink,6,12,1,Token:29 | RID:29 | Vector3:15 | RVA:12 | File:12 | Offset:12 | Gizmos:10 | Position:7
AIMinesPositionsHolder.cs,(global),class AIMinesPositionsHolder,MonoBehaviour,2,3,2,AIMinePoint:11 | Token:10 | RID:10 | List:10 | RVA:4 | File:4 | Offset:4 | Mines:4
AimingManager.cs,(global),class AimingManager,GClass429,4,1,3,Token:10 | RID:10 | EAimingType:7 | RVA:6 | File:6 | Offset:6 | CurrentAiming:5 | AimingTypes:4
AimingType.cs,(global),enum AimingType,,0,0,0,Token:3 | RID:3 | System:1 | AimingType:1
AIMonoDebug.cs,(global),class AIMonoDebug,MonoBehaviour,1,2,3,Token:9 | RID:9 | RVA:4 | File:4 | Offset:4 | System:2 | IsInited:2 | BotsController:2
AimStatus.cs,(global),enum AimStatus,,0,0,0,Token:4 | RID:4 | System:1 | AimStatus:1 | Aiming:1 | NoTarget:1 | AimComplete:1
AIPatrolsData.cs,(global),class AIPatrolsData,MonoBehaviour,5,9,3,Token:15 | RID:15 | ContainerLootPoints:8 | AILootPoint:8 | List:6 | RVA:5 | File:5 | Offset:5
AIPlaceInfo.cs,(global),class AIPlaceInfo,MonoBehaviour | IPhysicsTrigger,14,16,6,Token:42 | RID:42 | RVA:21 | File:21 | Offset:21 | Player:12 | ThrowGrenadePlace:10 | GrenadePlaces:8
AIPlaceInfoHalloweenCircle.cs,(global),class AIPlaceInfoHalloweenCircle,AIPlaceInfoLogic,6,4,3,Token:11 | RID:11 | CenterPoint:8 | CastPoints:8 | Transform:7 | AIPlaceInfoHalloweenCircle:6 | RVA:6 | File:6
AIPlaceInfoHolder.cs,(global),class AIPlaceInfoHolder | class Class146,MonoBehaviour,3,2,4,Token:7 | RID:7 | AIPlaceInfo:5 | System:4 | AIPlaceInfoHolder:3 | RVA:3 | File:3 | Offset:3
AIPlaceInfoLogic.cs,(global),class AIPlaceInfoLogic,MonoBehaviour,3,0,2,Token:4 | RID:4 | RVA:3 | File:3 | Offset:3 | System:1 | EFT:1 | UnityEngine:1
AIPlaceInfoLogicAllEnemy.cs,(global),class AIPlaceInfoLogicAllEnemy,AIPlaceInfoLogic,5,6,2,Token:12 | RID:12 | BotOwner:6 | RVA:5 | File:5 | Offset:5 | WildSpawnType:5 | Bots:5
AIPlaceInfoLogicBoar.cs,(global),class AIPlaceInfoLogicBoar,AIPlaceInfoLogic,2,3,3,Token:8 | RID:8 | Vector3:4 | PossiblePositions:4 | Transform:4 | RVA:3 | File:3 | Offset:3
AIPlaceInfoLogicExUsecAttack.cs,(global),class AIPlaceInfoLogicExUsecAttack,AIPlaceInfoLogic,0,1,0,Token:2 | RID:2 | System:1 | AIPlaceInfoLogicExUsecAttack:1 | AIPlaceInfoLogic:1 | BotZone:1 | ConnectedZone:1
AIPlaceInfoLogicKolontay.cs,(global),class AIPlaceInfoLogicKolontay,AIPlaceInfoLogic,0,0,0,System:1 | Token:1 | RID:1 | AIPlaceInfoLogicKolontay:1 | AIPlaceInfoLogic:1
AIPlaceInfoLogicZryachiy.cs,(global),class AIPlaceInfoLogicZryachiy,AIPlaceInfoLogic,3,8,1,Token:12 | RID:12 | RVA:3 | File:3 | Offset:3 | BotOwner:3 | Id:3 | System:1
